Sol_Hour,Temperature_K,Noise_Floor_dBm,Surf_Clear_PDR,Surf_Dust_PDR,Sat_Clear_PDR,Sat_Dust_PDR,Prop_Clear_PDR,Prop_Dust_PDR
0.0,160.50252531694167,-118.57729030687295,16.819747416762343,7.3224043715847,69.22176711527209,28.45117845117845,94.61279461279462,93.44904815229563
2.0,142.3851921597652,-119.09746074897288,13.876651982378855,3.5796766743648964,68.59045504994451,24.44922084900591,93.7877954920286,95.05703422053232
4.0,142.3851921597652,-119.09746074897288,14.152495885902358,3.8220193953223047,66.8848881614839,25.535331905781582,94.12090959511926,94.76006618863761
6.0,160.50252531694167,-118.57729030687295,12.993421052631579,6.884681583476763,70.69167643610785,25.84394023242944,94.50373532550694,94.55818965517241
8.0,191.88266684282354,-117.80175154800008,11.017897091722595,3.2185206098249575,45.13812154696132,25.870380289234063,94.34806939003917,94.9438202247191
10.0,228.11733315717646,-117.05052614838311,14.636810486073184,4.3883708173340645,44.43850267379679,29.46943483275663,95.49499443826474,94.69320066334991
12.0,259.49747468305833,-116.49077764751314,9.725400457665904,7.217694994179278,49.494949494949495,26.08450704225352,94.2286947141316,95.1219512195122
14.0,277.6148078402348,-116.19768273131422,13.12803889789303,2.39154616240267,47.27474972191324,24.637681159420293,94.20374707259953,94.07894736842105
16.0,277.6148078402348,-116.19768273131422,16.105499438832773,4.173531026908292,44.70714669532509,27.936145952109463,96.29200463499421,94.7459584295612
18.0,259.49747468305833,-116.49077764751314,10.577441985968699,3.629257398101619,44.669509594882726,28.30188679245283,93.89721627408993,93.60044518642181
20.0,228.11733315717646,-117.05052614838311,12.98342541436464,4.545454545454546,47.73109243697479,27.323008849557525,94.48428019856591,93.67631296891747
22.0,191.88266684282354,-117.80175154800008,14.549524342473418,4.96054114994363,47.50420639371845,27.098189797037847,95.00290528762348,94.80874316939891
24.0,160.5025253169417,-118.57729030687295,11.585365853658537,7.127882599580712,70.71946458449526,26.931690929451285,93.57696566998892,94.94163424124513
