Distance_km,Earth_PDR,Earth_PDR_CI,Mars_Surf_Clear_PDR,Mars_Surf_Clear_PDR_CI,Mars_Surf_Dust_PDR,Mars_Surf_Dust_PDR_CI,Mars_Sat_Clear_PDR,Mars_Sat_Clear_PDR_CI,Mars_Sat_Dust_PDR,Mars_Sat_Dust_PDR_CI,Mars_Prop_Surf_Clear_PDR,Mars_Prop_Surf_Clear_PDR_CI,Mars_Prop_Surf_Dust_PDR,Mars_Prop_Surf_Dust_PDR_CI,Mars_Prop_Clear_PDR,Mars_Prop_Clear_PDR_CI,Mars_Prop_Dust_PDR,Mars_Prop_Dust_PDR_CI
1.0,97.31138016589192,0.16299173479072984,94.81987568586221,0.7601811631738065,86.5326845551163,1.0631617337734505,78.14610820530876,0.5046163133040281,41.80918191340355,0.49978947573826427,97.56783476323253,0.14309695449282842,97.56924004709987,0.14327094123861006,96.38243700564524,0.18119200608788463,96.38243700564524,0.18119200608788463
3.111111111111111,89.60119118195732,0.8652429883595383,58.74456296872258,1.016880944972574,36.820129792434656,1.0090883770990056,78.03292209835769,0.3377626146902107,41.71572456706818,0.5966418034316697,96.44615983951532,0.45118347751921223,96.07698067610245,0.514365506639195,96.36608686093861,0.16644917063312012,96.36608686093861,0.16644917063312012
5.222222222222222,79.23626956865473,1.6691892863394013,37.81387864292942,1.210454377102819,18.31990032247966,0.9459737941016693,78.49162513685037,0.38311814306153036,42.0137904695192,0.48499346951614514,95.30891684113541,0.6954698388376397,95.06495295039304,0.6113865290164774,96.3587282397769,0.22420328443299195,96.3587282397769,0.22420328443299195
7.333333333333334,75.73999178388934,1.3983051896761014,25.710909947893775,1.1713017889499788,9.999616735892909,1.1333473601844393,78.19659541979472,0.42387248969405616,41.48120855508151,0.45668046961072944,92.42280879381033,0.8391763862305003,91.66498766596338,0.8248143521593584,96.25484565533546,0.1788037919566481,96.25484565533546,0.1788037919566481
9.444444444444445,68.0630727056243,1.4620814858761932,17.910757226963813,1.4367554074869893,6.751780990595075,0.9839239537337892,78.10197605485246,0.45858018777953663,41.689109304455734,0.41590991931372034,88.3838248467885,0.9059745419781392,84.45737244939873,1.0093365529174283,96.1926219028759,0.2307873149879554,96.1926219028759,0.2307873149879554
11.555555555555555,59.99233770505949,1.630231066408272,12.38830005138051,1.1002784709093656,3.4613651579625926,0.5705326110370299,78.25961364212394,0.4860986016797189,41.75511176030356,0.5347052530623059,79.26510670996564,1.0971931589178596,74.39667652383443,1.0330165034252996,96.4385995550285,0.16287593529669728,96.4385995550285,0.16287593529669728
13.666666666666668,50.711328772858934,1.4489757783460275,8.808384329747643,0.8632052951231802,2.2338148410545093,0.5558555678943535,78.47319690699693,0.4333378605718329,41.717664549002805,0.422688255503655,70.53930936035317,1.0591890938244521,66.47163077801592,1.0430727091303196,96.21359258108019,0.22838257197059983,96.21359258108019,0.22838257197059983
15.777777777777779,41.4462423214625,1.4021050652151565,7.285058717169174,0.7662860896040794,1.9494515019795573,0.3437689181010427,77.80183899569333,0.410692612909432,41.56242174548807,0.4284447361812913,64.91504343492228,1.5406005138326027,61.312808488073316,1.326905586418342,96.2536615955216,0.2212124471780256,96.2536615955216,0.2212124471780256
17.88888888888889,36.52041704020308,1.458312502772194,4.804342732417746,0.795254492680581,1.0264622260483238,0.34437573287768575,78.17353507053436,0.42005573209508634,41.60077107583775,0.4685410244878623,59.607708071302795,1.1657939487513986,55.539098509089605,1.2356546705508786,96.37505799235291,0.2122922170220443,96.37505799235291,0.2122922170220443
20.0,31.521434605438547,0.9760785210722579,4.4643250584145,0.6491856102912077,1.1632300699594065,0.32260022550450806,78.1498390028466,0.39934911325623607,41.70252986510329,0.3285904756605584,55.7288707616286,1.022307619898333,51.76367199054794,1.0258662127592466,96.47802499049334,0.21066371170430656,96.47802499049334,0.21066371170430656
